Id,SalePrice
1461,118056.96628114002
1462,142931.32682250027
1463,173334.13939180088
1464,199340.89354514703
1465,196851.57264066
1466,169597.77770655838
1467,186269.22926798742
1468,163628.2508455094
1469,192439.45632803527
1470,118884.4216828045
1471,185984.0458225656
1472,103172.26601795875
1473,96728.25384228316
1474,147321.04508041262
1475,117991.23693034543
1476,356378.3242572068
1477,244339.792374524
1478,288164.4658526795
1479,291435.22591041046
1480,497329.6337161662
1481,325288.74699201883
1482,214470.145827116
1483,169538.3940510748
1484,167294.21393327668
1485,190084.81032190123
1486,192806.1204435055
1487,342564.6472545762
1488,235794.12859573515
1489,187859.14862603467
1490,235271.30554730794
1491,191084.5416622143
1492,90874.65304947174
1493,189643.39684395347
1494,294413.0627993291
1495,288573.99809243873
1496,234802.9371924345
1497,179354.89558849484
1498,174115.56498509884
1499,162076.05051846104
1500,157078.40129297654
1501,170538.20629910816
1502,158502.68591119553
1503,285042.6773862633
1504,248077.13804372947
1505,228418.29190985454
1506,189546.3582338246
1507,253371.6171148596
1508,193865.116000413
1509,159182.5272688894
1510,142943.42886082327
1511,150860.47959073997
1512,172914.21543896158
1513,151104.24625611733
1514,149205.9304680855
1515,187338.85181999241
1516,148452.02889721008
1517,170990.02770400446
1518,130338.95540707848
1519,209869.2224872011
1520,126281.90781375882
1521,126738.83391223282
1522,171585.29395482608
1523,110390.9984112343
1524,119809.54008521674
1525,118939.16242353045
1526,106186.74697543151
1527,109796.97371840812
1528,141373.35671584573
1529,146573.23540871323
1530,203956.5513717723
1531,109832.62063311496
1532,100435.14223900731
1533,143793.2033330262
1534,126214.39659039032
1535,140469.47961473442
1536,108981.48439055835
1537,62100.90710783205
1538,142219.16776432065
1539,182481.9789506215
1540,89305.39433973865
1541,130202.41887926275
1542,133765.38669861117
1543,173994.59840830308
1544,89644.75851314972
1545,112769.47604646863
1546,134418.83755742086
1547,122431.26316347886
1548,136237.42081422894
1549,124039.3211049638
1550,129340.55927490891
1551,109382.2434991787
1552,136743.37110513775
1553,135649.17614083528
1554,120982.4314979377
1555,149609.67215963037
1556,89631.73493308443
1557,98387.93709262967
1558,104289.433327993
1559,61387.93547406011
1560,132034.77272480182
1561,116671.3130010073
1562,133802.1400629657
1563,120064.20539776453
1564,155140.2083078486
1565,140550.2933628204
1566,233711.81581924844
1567,79990.46358944564
1568,236361.06013498205
1569,121103.78242067975
1570,140787.61052678124
1571,116806.24453144401
1572,140815.84528472982
1573,222447.01672507456
1574,118447.15293617775
1575,222605.495074757
1576,248679.93134787207
1577,179552.8367655944
1578,142706.61003741767
1579,137410.0532426979
1580,197127.30526216776
1581,157000.70903537926
1582,127602.229008867
1583,287569.2163354882
1584,221425.2414286615
1585,137755.23990240876
1586,75112.78201325728
1587,104317.10829213481
1588,154791.38593184808
1589,94298.41600590402
